route_id,service_id,trip_id,departure_time
lacivert-ring,weekdays,lacivert-ring-0,18:00:00
lacivert-ring,weekdays,lacivert-ring-1,19:30:00
lacivert-ring,weekdays,lacivert-ring-2,18:30:00
lacivert-ring,weekdays,lacivert-ring-3,20:00:00
lacivert-ring,weekdays,lacivert-ring-4,19:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-0,08:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-1,08:25:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-2,08:50:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-3,09:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-4,09:40:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-5,08:05:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-6,08:30:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-7,08:55:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-8,09:20:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-9,09:45:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-10,08:10:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-11,08:35:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-12,09:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-13,09:25:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-14,09:50:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-15,08:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-16,08:40:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-17,09:05:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-18,09:30:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-19,09:55:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-20,08:20:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-21,08:45:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-22,09:10:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-23,09:35:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-24,10:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-25,10:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-26,11:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-27,12:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-28,13:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-29,14:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-30,15:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-31,16:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-32,17:00:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-33,10:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-34,11:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-35,12:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-36,13:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-37,14:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-38,15:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-39,16:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-40,17:15:00
acik-kahverengi-ring,weekdays,acik-kahverengi-ring-41,10:30:00
